src_id,tag_id
急性肾炎,清炒油麦菜
晶状体蛋白过敏性青光眼,鲤鱼脑粥
尿道与阴茎结核,番茄橘子汁
毛石肠梗阻综合征,荞麦粥
药物过敏,紫菜芙蓉汤
硫化氢中毒,杂粮粥
眼球破裂伤,牛奶菠菜粥
肾动脉栓塞,赤小豆鲤鱼汤
髋关节滑囊炎,小白菜氽丸子
糖尿病性胃轻瘫,黄精炖猪瘦肉
小儿过敏性紫瘢,红枣羊骨糯米粥
外阴急性蜂窝组织炎,菠菜双蛋羹
咽后壁憩室,玉米粉燕麦粥
神经纤维肉瘤,山药桂圆粥
网膜原发性节段性梗死,五丝白菜卷
缺血性肠绞痛,燕麦粳米粥
急性腐蚀性胃炎,什锦黄瓜卷
急性心包炎,炒丝瓜
麻疹病毒肺炎,胡萝卜苹果汁
局限型间皮瘤,卷心菜菠萝汁
甲真菌病,炒山核桃
喉气管瘢痕性狭窄,香菇冬瓜汤
咽侧壁憩室,小米薄麻粥
卵巢两性母细胞瘤,双菇番茄黄瓜紫菜汤
高血压性脑出血,红豆糯米粥
抑郁性神经症,炒胡萝卜
输尿管损伤,菠菜双蛋羹
甲状旁腺功能减退症,鲜百合冬菇西兰花汤
梭形细胞肿瘤,素三鲜豆腐汤
肠系膜上动脉压迫综合征,雪梨猪肉汤
软产道异常性难产,清蒸甲鱼
血管内皮瘤,蛋花空心菜汤
继发性白血病,苹果甘蔗番茄汁
安眠药中毒,海带粥
老年癌症病人的急性感染,莲藕小豆猪胰汤
过敏性荨麻疹,素炒小白菜
脉痹,牛奶蛋
蛋白质缺乏症,肉丁烫面饼
口底多间隙感染,小白菜馅包子
颅内高压综合征,海带粳米粥
唇炎,赤小豆粥
胃肠湿热,薏米汤
原发性卵巢类癌综合征,香炖羊肉
鸡眼,鸡肉冬菜饼
尿道结核,紫苋粳米粥
无机磷中毒,莲藕萝卜
老年女性膀胱颈梗阻,珍珠笋番茄蘑菇汤
肺癌,炒苋菜
阴道平滑肌肉瘤,桃仁炒香菇
直肠脱垂直肠壁内疝,白菜猪肉水饺
恶性淋巴瘤,清炒黄豆芽
羊水栓塞,冬瓜草鱼汤
丧偶后适应性障碍,小麦粥
头皮血肿,哈密瓜香蕉汁
跖骨、趾骨骨折,清炒荷兰豆
咽扁桃体肥大,冬瓜草鱼汤
点状骨骺发育异常,鸡肉炒藕丝
复发性腹股沟疝,黑芝麻果仁粥
绝经后骨质疏松,腰果肉饭
夏季皮炎,青菜木耳香菇猪血汤
手癣,马齿苋粳米粥
心脏神经症,黄瓜拌豆腐丝
肾精亏虚,猪排骨焖土豆
急性眼眶蜂窝织炎,胡萝卜枸杞汁
PUVA雀斑样痣,番茄橘子汁
外阴平滑肌瘤,卷心菜菠萝汁
克罗恩病,小米枣仁粥
乳头状囊腺瘤,双菇番茄黄瓜紫菜汤
小儿慢性硬膜下血肿,丝瓜汤
多汗症,泥鳅汤
鼾症,双菇番茄黄瓜紫菜汤
性冷淡,油炸麻雀
类风湿性关节炎肾损害,蒜泥马齿苋
原卟啉病,菠萝芹菜汁
脊柱疾病,草鱼豆腐
鼻中隔血肿,山药桂圆粥
老年人肺结核病,胡萝卜菠菜汁
副溶血孤菌肠炎,芹菜粥
老年人慢性肾功能衰竭,圆白菜炒粉丝
经行流涎,白芷茯苓薏苡仁粥
视网膜动脉阻塞,香菇油菜面筋粥
硬皮病,杂粮粥
成人脐疝,香蕉葡萄粥
小儿烫伤,红豆糯米粥
脑胶质瘤,核桃肉粉
其他沙门菌感染,燕麦粳米粥
锌中毒,南瓜大麦粥
奶癣,绿豆奶粥
甲型肝炎,薏米莲子粥
腹腔动脉压迫综合征,黄瓜素虾仁
创伤性骨髓炎,菠菜羹
脊椎结核寒性脓肿穿入空腔脏器,西芹牛肉羹
男性性早熟,生菜龙虾
产后出血,海带瘦肉粥
并发症白内障,白菜肉末粥
黄斑囊样水肿,黑木耳炒猪肝
